Timestamp,Ch1_Anem_2.90m_W_Avg_m/s,Ch13_Vane_2.90m_N_Avg_Deg,Ch16_Analog_2.00m_N_Avg_mb,Ch17_Analog_2.00m_N_Avg_C,Ch18_Analog_2.00m_N_Avg_%RH,Ch20_Analog_2.80m_N_Avg_W/sqm,Ch21_Analog_2.80m_N_Avg_W/sqm,Ch102_Calculated___Avg_mm
1/1/2020 0:00,1.7423,306.28,957.950945,21.187944,91.32843,-3.420705,-3.404856,
1/1/2020 0:10,1.57553,310.26,957.917696,21.065038,91.563416,-3.188329,-3.257336,
1/1/2020 0:20,1.60307,307.61,957.801324,20.912465,91.760254,-3.265788,-3.331096,
1/1/2020 0:30,1.45007,308.86,957.768076,20.899751,91.603088,-3.498164,-3.404856,
1/1/2020 0:40,1.43018,298.65,957.751451,20.912465,91.345215,-3.730541,-3.699894,
1/1/2020 0:50,1.591595,294.55,957.701578,20.950608,91.213989,-3.730541,-3.699894,
1/1/2020 1:00,1.62755,294.36,957.651704,20.844655,91.517639,-3.420705,-3.478615,
1/1/2020 1:10,1.58012,290.28,957.518709,20.662416,92.218018,-3.033411,-3.109817,
1/1/2020 1:20,1.877705,278.46,957.48546,20.463224,93.650818,-3.11087,-3.109817,
1/1/2020 1:30,1.958795,278.38,957.402338,20.399652,94.703674,-3.11087,-3.109817,
1/24/2020 2:50,0.352295,81.02,953.828081,17.39058,93.844604,-3.033411,-2.962298,
